"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Tomatoes","Mayonnaise","Turkey","Bacon","Chicken","Cheddar cheese","Swiss cheese","Lettuce","Provolone cheese","Spinach"
"Tomatoes","Onions","Cucumbers","Lettuce","Avocado","Sprouts","Provolone cheese","Peppers","Cheddar cheese","Mayonnaise"
